message_id,conversation_id,topic,timestamp,labeler_id,confidence
36605,1,Spam Messages,2025-01-14T15:55:11Z,phi4,1.0
36599,2,Spam Messages,2025-01-14T13:33:47Z,phi4,1.0
36603,3,Spam Messages,2025-01-14T14:30:19Z,phi4,1.0
36602,4,Spam Messages,2025-01-14T14:26:50Z,phi4,1.0
36600,5,Stock Market and Trading,2025-01-14T13:35:27Z,phi4,0.9
36597,6,Cryptocurrency Development Opportunities,2025-01-14T13:25:45Z,phi4,0.8
36602,7,General Greeting,2025-01-14T14:26:50Z,phi4,1.0
36600,8,Stock Market and Trading,2025-01-14T13:35:27Z,phi4,0.9
36599,9,Spam Messages,2025-01-14T13:33:47Z,phi4,1.0
36603,10,Spam Messages,2025-01-14T14:30:19Z,phi4,1.0
36605,11,Spam Messages,2025-01-14T15:55:11Z,phi4,1.0
36600,12,Stock Market and Trading,2025-01-14T13:35:27Z,phi4,0.9
36597,13,Cryptocurrency Development Opportunities,2025-01-14T13:25:45Z,phi4,0.8
36605,14,Spam Messages,2025-01-14T15:55:11Z,phi4,1.0
36603,15,Spam Messages,2025-01-14T14:30:19Z,phi4,1.0
36602,16,General Greeting,2025-01-14T14:26:50Z,phi4,1.0
36599,17,Spam Messages,2025-01-14T13:33:47Z,phi4,1.0
36600,18,Stock Market and Trading,2025-01-14T13:35:27Z,phi4,0.9
36605,19,Spam Messages,2025-01-14T15:55:11Z,phi4,1.0
36597,20,Cryptocurrency Development Opportunities,2025-01-14T13:25:45Z,phi4,0.8
36603,21,Spam Messages,2025-01-14T14:30:19Z,phi4,1.0
36602,22,General Greeting,2025-01-14T14:26:50Z,phi4,1.0
36599,23,Spam Messages,2025-01-14T13:33:47Z,phi4,1.0
36600,24,Stock Market and Trading,2025-01-14T13:35:27Z,phi4,0.9
36605,25,Spam Messages,2025-01-14T15:55:11Z,phi4,1.0
36597,26,Cryptocurrency Development Opportunities,2025-01-14T13:25:45Z,phi4,0.8
36603,27,Spam Messages,2025-01-14T14:30:19Z,phi4,1.0
36602,28,General Greeting,2025-01-14T14:26:50Z,phi4,1.0
36599,29,Spam Messages,2025-01-14T13:33:47Z,phi4,1.0
36600,30,Stock Market and Trading,2025-01-14T13:35:27Z,phi4,0.9
36605,31,Spam Messages,2025-01-14T15:55:11Z,phi4,1.0
36597,32,Cryptocurrency Development Opportunities,2025-01-14T13:25:45Z,phi4,0.8
36603,33,Spam Messages,2025-01-14T14:30:19Z,phi4,1.0
36602,34,General Greeting,2025-01-14T14:26:50Z,phi4,1.0
36599,35,Spam Messages,2025-01-14T13:33:47Z,phi4,1.0
36600,36,Stock Market and Trading,2025-01-14T13:35:27Z,phi4,0.9
36605,37,Spam Messages,2025-01-14T15:55:11Z,phi4,1.0
36597,38,Cryptocurrency Development Opportunities,2025-01-14T13:25:45Z,phi4,0.8
36603,39,Spam Messages,2025-01-14T14:30:19Z,phi4,1.0
36602,40,General Greeting,2025-01-14T14:26:50Z,phi4,1.0
36599,41,Spam Messages,2025-01-14T13:33:47Z,phi4,1.0
36600,42,Stock Market and Trading,2025-01-14T13:35:27Z,phi4,0.9
36605,43,Spam Messages,2025-01-14T15:55:11Z,phi4,1.0
36597,44,Cryptocurrency Development Opportunities,2025-01-14T13:25:45Z,phi4,0.8
36603,45,Spam Messages,2025-01-14T14:30:19Z,phi4,1.0
36602,46,General Greeting,2025-01-14T14:26:50Z,phi4,1.0
36599,47,Spam Messages,2025-01-14T13:33:47Z,phi4,1.0
36600,48,Stock Market and Trading,2025-01-14T13:35:27Z,phi4,0.9
36605,49,Spam Messages,2025-01-14T15:55:11Z,phi4,1.0
36597,50,Cryptocurrency Development Opportunities,2025-01-14T13:25:45Z,phi4,0.8
36603,51,Spam Messages,2025-01-14T14:30:19Z,phi4,1.0
36602,52,General Greeting,2025-01-14T14:26:50Z,phi4,1.0
36599,53,Spam Messages,2025-01-14T13:33:47Z,phi4,1.0
36600,54,Stock Market and Trading,2025-01-14T13:35:27Z,phi4,0.9
36605,55,Spam Messages,2025-01-14T15:55:11Z,phi4,1.0
36597,56,Cryptocurrency Development Opportunities,2025-01-14T13:25:45Z,phi4,0.8
36603,57,Spam Messages,2025-01-14T14:30:19Z,phi4,1.0
36602,58,General Greeting,2025-01-14T14:26:50Z,phi4,1.0
36599,59,Spam Messages,2025-01-14T13:33:47Z,phi4,1.0
36600,60,Stock Market and Trading,2025-01-14T13:35:27Z,phi4,0.9
36605,61,Spam Messages,2025-01-14T15:55:11Z,phi4,1.0
36597,62,Cryptocurrency Development Opportunities,2025-01-14T13:25:45Z,phi4,0.8
36603,63,Spam Messages,2025-01-14T14:30:19Z,phi4,1.0
36602,64,General Greeting,2025-01-14T14:26:50Z,phi4,1.0
36599,65,Spam Messages,2025-01-14T13:33:47Z,phi4,1.0
36600,66,Stock Market and Trading,2025-01-14T13:35:27Z,phi4,0.9
36605,67,Spam Messages,2025-01-14T15:55:11Z,phi4,1.0
36597,68,Cryptocurrency Development Opportunities,2025-01-14T13:25:45Z,phi4,0.8
36603,69,Spam Messages,2025-01-14T14:30:19Z,phi4,1.0
36602,70,General Greeting,2025-01-14T14:26:50Z,phi4,1.0
36597,71,Cryptocurrency Development Opportunities,2025-01-14T13:25:45Z,phi4,0.8
36600,72,Stock Market and Trading,2025-01-14T13:35:27Z,phi4,0.9
36605,73,Spam Messages,2025-01-14T15:55:11Z,phi4,1.0
36599,74,Spam Messages,2025-01-14T13:33:47Z,phi4,1.0
36603,75,General Greeting,2025-01-14T14:26:50Z,phi4,1.0
36600,76,Stock Market and Trading,2025-01-14T13:35:27Z,phi4,0.9
36599,77,Spam Messages,2025-01-14T13:33:47Z,phi4,1.0
36597,78,Cryptocurrency Development Opportunities,2025-01-14T13:25:45Z,phi4,0.8
36603,79,General Greeting,2025-01-14T14:26:50Z,phi4,1.0
36599,80,Spam Messages,2025-01-14T13:33:47Z,phi4,1.0
36600,81,Stock Market and Trading,2025-01-14T13:35:27Z,phi4,0.9
36605,82,Spam Messages,2025-01-14T15:55:11Z,phi4,1.0
36597,83,Cryptocurrency Development Opportunities,2025-01-14T13:25:45Z,phi4,0.8
36603,84,General Greeting,2025-01-14T14:26:50Z,phi4,1.0
36600,85,Stock Market and Trading,2025-01-14T13:35:27Z,phi4,0.9
36599,86,Spam Messages,2025-01-14T13:33:47Z,phi4,1.0
36597,87,Cryptocurrency Development Opportunities,2025-01-14T13:25:45Z,phi4,0.8
36603,88,General Greeting,2025-01-14T14:26:50Z,phi4,1.0
36599,89,Spam Messages,2025-01-14T13:33:47Z,phi4,1.0
36600,90,Stock Market and Trading,2025-01-14T13:35:27Z,phi4,0.9
36597,91,Cryptocurrency Development Opportunities,2025-01-14T13:25:45Z,phi4,0.8
36603,92,General Greeting,2025-01-14T14:26:50Z,phi4,1.0
36605,93,Spam Messages,2025-01-14T15:55:11Z,phi4,1.0
36599,94,Spam Messages,2025-01-14T13:33:47Z,phi4,1.0
36600,95,Stock Market and Trading,2025-01-14T13:35:27Z,phi4,0.9
36597,96,Cryptocurrency Development Opportunities,2025-01-14T13:25:45Z,phi4,0.8
36603,97,General Greeting,2025-01-14T14:26:50Z,phi4,1.0
36599,98,Spam Messages,2025-01-14T13:33:47Z,phi4,1.0
36597,99,Cryptocurrency Development Opportunities,2025-01-14T13:25:45Z,phi4,0.8
36600,100,Stock Market and Trading,2025-01-14T13:35:27Z,phi4,0.9
36605,101,Spam Messages,2025-01-14T15:55:11Z,phi4,1.0
36599,102,Spam Messages,2025-01-14T13:33:47Z,phi4,1.0
36603,103,General Greeting,2025-01-14T14:26:50Z,phi4,1.0
36600,104,Stock Market and Trading,2025-01-14T13:35:27Z,phi4,0.9
36597,105,Cryptocurrency Development Opportunities,2025-01-14T13:25:45Z,phi4,0.8
36603,106,General Greeting,2025-01-14T14:26:50Z,phi4,1.0
36599,107,Spam Messages,2025-01-14T13:33:47Z,phi4,1.0
36597,108,Cryptocurrency Development Opportunities,2025-01-14T13:25:45Z,phi4,0.8
36600,109,Stock Market and Trading,2025-01-14T13:35:27Z,phi4,0.9
36605,110,Spam Messages,2025-01-14T15:55:11Z,phi4,1.0
36599,111,Spam Messages,2025-01-14T13:33:47Z,phi4,1.0
36603,112,General Greeting,2025-01-14T14:26:50Z,phi4,1.0
36597,113,Cryptocurrency Development Opportunities,2025-01-14T13:25:45Z,phi4,0.8
36600,114,Stock Market and Trading,2025-01-14T13:35:27Z,phi4,0.9
36599,115,Spam Messages,2025-01-14T13:33:47Z,phi4,1.0
36597,116,Cryptocurrency Development Opportunities,2025-01-14T13:25:45Z,phi4,0.8
36603,117,General Greeting,2025-01-14T14:26:50Z,phi4,1.0
36605,118,Spam Messages,2025-01-14T15:55:11Z,phi4,1.0
36599,119,Spam Messages,2025-01-14T13:33:47Z,phi4,1.0
36600,120,Stock Market and Trading,2025-01-14T13:35:27Z,phi4,0.9
36597,121,Cryptocurrency Development Opportunities,2025-01-14T13:25:45Z,phi4,0.8
36603,122,General Greeting,2025-01-14T14:26:50Z,phi4,1.0
36599,123,Spam Messages,2025-01-14T13:33:47Z,phi4,1.0
36597,124,Cryptocurrency Development Opportunities,2025-01-14T13:25:45Z,phi4,0.8
36600,125,Stock Market and Trading,2025-01-14T13:35:27Z,phi4,0.9
36605,126,Spam Messages,2025-01-14T15:55:11Z,phi4,1.0
36599,127,Spam Messages,2025-01-14T13:33:47Z,phi4,1.0
36603,128,General Greeting,2025-01-14T14:26:50Z,phi4,1.0
36600,129,Stock Market and Trading,2025-01-14T13:35:27Z,phi4,0.9
36597,130,Cryptocurrency Development Opportunities,2025-01-14T13:25:45Z,phi4,0.8
36603,131,General Greeting,2025-01-14T14:26:50Z,phi4,1.0
36599,132,Spam Messages,2025-01-14T13:33:47Z,phi4,1.0
36597,133,Cryptocurrency Development Opportunities,2025-01-14T13:25:45Z,phi4,0.8
36600,134,Stock Market and Trading,2025-01-14T13:35:27Z,phi4,0.9
36605,135,Spam Messages,2025-01-14T15:55:11Z,phi4,1.0
36599,136,Spam Messages,2025-01-14T13:33:47Z,phi4,1.0
36603,137,General Greeting,2025-01-14T14:26:50Z,phi4,1.0
36600,138,Stock Market and Trading,2025-01-14T13:35:27Z,phi4,0.9
36597,139,Cryptocurrency Development Opportunities,2025-01-14T13:25:45Z,phi4,0.8
36603,140,General Greeting,2025-01-14T14:26:50Z,phi4,1.0
36599,141,Spam Messages,2025-01-14T13:33:47Z,phi4,1.0
36597,142,Cryptocurrency Development Opportunities,2025-01-14T13:25:45Z,phi4,0.8
36600,143,Stock Market and Trading,2025-01-14T13:35:27Z,phi4,0.9
36605,144,Spam Messages,2025-01-14T15:55:11Z,phi4,1.0
36599,145,Spam Messages,2025-01-14T13:33:47Z,phi4,1.0
36603,146,General Greeting,2025-01-14T14:26:50Z,phi4,1.0
36600,147,Stock Market and Trading,2025-01-14T13:35:27Z,phi4,0.9
36597,148,Cryptocurrency Development Opportunities,2025-01-14T13:25:45Z,phi4,0.8
36603,149,General Greeting,2025-01-14T14:26:50Z,phi4,1.0
36599,150,Spam Messages,2025-01-14T13:33:47Z,phi4,1.0
36597,151,Cryptocurrency Development Opportunities,2025-01-14T13:25:45Z,phi4,0.8
36600,152,Stock Market and Trading,2025-01-14T13:35:27Z,phi4,0.9
36605,153,Spam Messages,2025-01-14T15:55:11Z,phi4,1.0
36599,154,Spam Messages,2025-01-14T13:33:47Z,phi4,1.0
36603,155,General Greeting,2025-01-14T14:26:50Z,phi4,1.0
36600,156,Stock Market and Trading,2025-01-14T13:35:27Z,phi4,0.9
36597,157,Cryptocurrency Development Opportunities,2025-01-14T13:25:45Z,phi4,0.8
36603,158,General Greeting,2025-01-14T14:26:50Z,phi4,1.0
36599,159,Spam Messages,2025-01-14T13:33:47Z,phi4,1.0
36597,160,Cryptocurrency Development Opportunities,2025-01-14T13:25:45Z,phi4,0.8
36600,161,Stock Market and Trading,2025-01-14T13:35:27Z,phi4,0.9
36605,162,Spam Messages,2025-01-14T15:55:11Z,phi4,1.0
36599,163,Spam Messages,2025-01-14T13:33:47Z,phi4,1.0
36603,164,General Greeting,2025-01-14T14:26:50Z,phi4,1.0
36600,165,Stock Market and Trading,2025-01-14T13:35:27Z,phi4,0.9
36597,166,Cryptocurrency Development Opportunities,2025-01-14T13:25:45Z,phi4,0.8
36603,167,General Greeting,2025-01-14T14:26:50Z,phi4,1.0
36599,168,Spam Messages,2025-01-14T13:33:47Z,phi4,1.0
36597,169,Cryptocurrency Development Opportunities,2025-01-14T13:25:45Z,phi4,0.8
36600,170,Stock Market and Trading,2025-01-14T13:35:27Z,phi4,0.9
36605,171,Spam Messages,2025-01-14T15:55:11Z,phi4,1.0
36599,172,Spam Messages,2025-01-14T13:33:47Z,phi4,1.0
36603,173,General Greeting,2025-01-14T14:26:50Z,phi4,1.0
36600,174,Stock Market and Trading,2025-01-14T13:35:27Z,phi4,0.9
36597,175,Cryptocurrency Development Opportunities,2025-01-14T13:25:45Z,phi4,0.8
36603,176,General Greeting,2025-01-14T14:26:50Z,phi4,1.0
36599,177,Spam Messages,2025-01-14T13:33:47Z,phi4,1.0
36597,178,Cryptocurrency Development Opportunities,2025-01-14T13:25:45Z,phi4,0.8
